"International Studies","199901","199902","199903","200001","200002","200003","200101","200102","200103","200201","200202","200203","200301","200302","200303","200401","200402","200403","200501","200502","200503","200601","200602","200603","200701","200702","200703","200801","200802","200803","200901","200902","200903","201001","201002","201003","201101","201102","201103","201201","201202","201203","201301","201302","201303","201401","201402","201403","201501","201502","201503","201601","201602","201603","201701","201702","201703","201801","201802","201803","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
HUM 214,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,
HUM 221,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,
HUM 222,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUM 224,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,
HUM 231,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,
HUM 232,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,
HUM 241,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,
HUM 251,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUM 261,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,
HUM 271,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,
SPS 303,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 304,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,
HUM 311,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 312,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 317,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 321,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 322,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 324,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,
HUM 371,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
ECON 202,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
ECON 204,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
IR 201,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
IR 301,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
IR 391,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
IR 394,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
IS 300,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PROJ 300,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,
PSIR 311,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
SPS 311,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,
ECON 201,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A,CI:A
ECON 340,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI
ECON 345,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI
MATH 203,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E,CI:E
CONF 400,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII
HIST 349,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A,CII:A
HIST 405,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF 401,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,,,,,,,,,,
IR 341,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
IR 342,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII:A,CII:A,CII:A,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII
IR 392,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII
IR 400,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,,,,,,,,,,,,,,,,,,,
IR 403,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,,,,,,,,,,,,,,,,,,,,,
IR 410,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII
IR 493,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,CII,,,,,,,,,,,,,,,,,,,
